  
       XFOIL         Version 6.99
  
 Calculated polar for: S9000 (9%)                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.100     Re =     5.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -6.000  -0.3232   0.00721   0.00104  -0.0762   0.9052   0.0025  10.3866 105.7031
  -5.600  -0.2805   0.00686   0.00081  -0.0756   0.8743   0.0026  13.1129 105.7541
  -5.200  -0.2368   0.00655   0.00062  -0.0752   0.8476   0.0026  15.4608 105.8026
  -4.800  -0.1929   0.00629   0.00047  -0.0749   0.8202   0.0027  17.8708 105.8511
  -4.400  -0.1487   0.00610   0.00036  -0.0746   0.7901   0.0028  20.5045 105.9030
  -4.000  -0.1041   0.00594   0.00027  -0.0744   0.7632   0.0028  22.8655 105.9628
  -3.600  -0.0592   0.00579   0.00020  -0.0743   0.7375   0.0032  25.1128 106.2163
  -3.200  -0.0146   0.00557   0.00011  -0.0741   0.7086   0.0147  27.6619 110.8997
  -2.800   0.0301   0.00546   0.00005  -0.0740   0.6781   0.0296  30.3262 113.4785
  -2.400   0.0747   0.00536   0.00001  -0.0740   0.6431   0.0554  33.4017 116.3047
  -2.000   0.1195   0.00521  -0.00004  -0.0739   0.6131   0.1022  36.0352 120.6714
  -1.600   0.1643   0.00504  -0.00006  -0.0740   0.5858   0.1664  38.4220 126.3954
  -1.200   0.2092   0.00493  -0.00007  -0.0740   0.5573   0.2262  40.9275 131.6467
  -0.800   0.2538   0.00485  -0.00006  -0.0740   0.5189   0.2986  44.2925 137.9533
  -0.400   0.2984   0.00485  -0.00004  -0.0740   0.4821   0.3562  47.5239 142.9558
   0.000   0.3433   0.00478  -0.00001  -0.0741   0.4548   0.4284  49.9179 149.2190
   0.400   0.3882   0.00476   0.00003  -0.0742   0.4250   0.4958  52.5357 155.0445
   0.800   0.4329   0.00471   0.00007  -0.0742   0.3964   0.5803  55.0493 162.3622
   1.200   0.4775   0.00470   0.00013  -0.0742   0.3662   0.6610  57.7066 169.3764
   1.600   0.5217   0.00486   0.00021  -0.0741   0.3254   0.7061  61.3052 173.2780
   2.000   0.5660   0.00501   0.00028  -0.0740   0.2939   0.7403  64.0978 176.2449
   2.400   0.6106   0.00515   0.00035  -0.0739   0.2705   0.7678  66.1734 178.6361
   2.800   0.6551   0.00531   0.00041  -0.0738   0.2474   0.7893  68.2296 180.5051
   3.200   0.6988   0.00556   0.00051  -0.0736   0.2127   0.8141  71.3440 182.6625
   3.600   0.7423   0.00581   0.00061  -0.0734   0.1824   0.8378  74.0677 184.7340
   4.000   0.7860   0.00602   0.00069  -0.0731   0.1607   0.8614  76.0564 186.7976
   4.400   0.8292   0.00624   0.00078  -0.0728   0.1405   0.8900  77.9189 189.3097
   4.800   0.8714   0.00645   0.00087  -0.0722   0.1220   0.9231  79.6376 192.2392
   5.200   0.9109   0.00658   0.00091  -0.0710   0.1055   1.0000  81.2085 200.0000
   5.600   0.9540   0.00695   0.00101  -0.0707   0.0854   1.0000  83.1727 200.0000
   6.000   0.9966   0.00736   0.00112  -0.0704   0.0660   1.0000  85.1267 200.0000
   6.400   1.0390   0.00777   0.00123  -0.0700   0.0505   1.0000  86.7931 200.0000
   6.800   1.0814   0.00817   0.00132  -0.0696   0.0391   1.0000  88.1217 200.0000
   7.200   1.1234   0.00858   0.00142  -0.0691   0.0302   1.0000  89.2742 200.0000
   7.600   1.1654   0.00899   0.00149  -0.0687   0.0239   1.0000  90.1954 200.0000
   8.000   1.2060   0.00954   0.00163  -0.0680   0.0153   1.0000  91.8087 200.0000
   8.400   1.2464   0.01010   0.00176  -0.0673   0.0096   1.0000  93.3764 200.0000
   8.800   1.2866   0.01064   0.00187  -0.0666   0.0066   1.0000  94.5357 200.0000
   9.200   1.3268   0.01116   0.00193  -0.0659   0.0051   1.0000  95.3161 200.0000
   9.600   1.3664   0.01171   0.00199  -0.0651   0.0039   1.0000  96.0227 200.0000
  10.000   1.4057   0.01225   0.00201  -0.0643   0.0033   1.0000  96.4756 200.0000
  10.400   1.4441   0.01287   0.00205  -0.0633   0.0025   1.0000  97.0954 200.0000
  10.800   1.4813   0.01356   0.00211  -0.0622   0.0016   1.0000  98.0125 200.0000
  11.200   1.5170   0.01436   0.00223  -0.0609   0.0008   1.0000  99.1451 200.0000
  11.600   1.5513   0.01524   0.00234  -0.0593   0.0005   1.0000  99.8594 200.0000
  12.000   1.5853   0.01606   0.00236  -0.0578   0.0004   1.0000 100.0609 200.0000
  12.400   1.6182   0.01692   0.00239  -0.0561   0.0004   1.0000 100.1593 200.0000
  12.800   1.6490   0.01785   0.00245  -0.0541   0.0003   1.0000 100.2631 200.0000
  13.200   1.6773   0.01888   0.00254  -0.0518   0.0003   1.0000 100.3642 200.0000
  13.600   1.7024   0.02000   0.00268  -0.0490   0.0003   1.0000 100.4632 200.0000
  14.000   1.7177   0.02116   0.00287  -0.0445   0.0002   1.0000 100.5562 200.0000
  14.400   1.7279   0.02250   0.00320  -0.0396   0.0002   1.0000 100.6530 200.0000
  14.800   1.7355   0.02416   0.00375  -0.0349   0.0002   1.0000 100.7582 200.0000
